,기업명,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
266,오킨스전자(2022/12),642.0,26.0,30.0,826.0,330.0,88.0,76.0,-44.0,390.0,4.07,4.69,8.36,3.76,150.38,161.0,114.05,1876.0,9.81,17679298.0
267,오킨스전자(2023/12),568.0,-3.0,10.0,914.0,359.0,88.0,72.0,-28.0,449.0,-0.46,1.76,3.0,1.15,154.64,58.0,155.39,2074.0,4.34,17679298.0
268,오킨스전자(2024/12),667.0,19.0,-54.0,871.0,276.0,88.0,106.0,-35.0,467.0,2.86,-8.11,-17.2,-6.06,215.74,-306.0,-14.477124183006536,1588.0,2.79,17679298.0
272,미래산업(2020/12),416.0,13.0,-67.0,958.0,641.0,19.0,-7.0,-101.0,167.0,3.04,-16.18,-10.31,-7.88,49.45,-271.0,-7.029520295202952,2337.0,0.81,27430325.0
273,미래산업(2021/12),483.0,85.0,75.0,1187.0,846.0,22.0,52.0,43.0,164.0,17.56,15.5,10.07,6.99,40.18,250.0,7.04,2589.0,0.68,32717265.0
274,미래산업(2022/12),562.0,80.0,80.0,1344.0,934.0,22.0,0.0,-5.0,209.0,14.28,14.28,9.01,6.34,43.96,245.0,5.54,2856.0,0.48,32717265.0
275,미래산업(2023/12),217.0,-160.0,-315.0,1038.0,764.0,152.0,67.0,65.0,153.0,-73.48,-144.91,-37.1,-26.45,35.77,-890.0,-2.1382022471910114,2045.0,0.93,37400617.0
276,미래산업(2024/12),270.0,121.0,66.0,1316.0,1060.0,291.0,3.0,-312.0,131.0,44.82,24.42,7.24,5.61,24.15,169.0,4.74,1821.0,0.44,58229134.0
280,프로텍(2020/12),865.0,154.0,111.0,2275.0,2067.0,55.0,110.0,108.0,50.0,17.8,12.86,5.54,4.84,10.03,1040.0,26.36,21105.0,1.3,11000000.0
281,프로텍(2021/12),1740.0,503.0,471.0,2856.0,2511.0,55.0,198.0,159.0,49.0,28.93,27.05,20.66,18.35,13.77,4288.0,6.26,25641.0,1.05,11000000.0
282,프로텍(2022/12),1988.0,601.0,423.0,3462.0,3032.0,55.0,468.0,428.0,98.0,30.22,21.27,16.22,13.39,14.17,3834.0,5.53,29951.0,0.71,11000000.0
283,프로텍(2023/12),1561.0,174.0,171.0,3623.0,3144.0,55.0,259.0,180.0,210.0,11.17,10.95,7.43,4.83,15.24,1874.0,24.36,31733.0,1.44,11000000.0
284,프로텍(2024/12),1703.0,134.0,127.0,3768.0,3228.0,55.0,191.0,135.0,252.0,7.89,7.49,7.35,3.45,16.71,1971.0,11.09,33802.0,0.65,11000000.0
296,유니퀘스트(2020/12),4028.0,90.0,205.0,3800.0,2367.0,137.0,88.0,82.0,444.0,2.24,5.1,10.8,5.63,60.54,878.0,16.75,8610.0,1.71,27307225.0
297,유니퀘스트(2021/12),5910.0,245.0,604.0,4903.0,3085.0,137.0,98.0,84.0,614.0,4.15,10.22,23.53,13.88,58.94,2289.0,5.29,11339.0,1.07,27342975.0
298,유니퀘스트(2022/12),7295.0,473.0,441.0,6107.0,3478.0,137.0,-463.0,-468.0,1088.0,6.48,6.04,15.17,8.01,75.58,1796.0,4.59,13196.0,0.63,27355975.0
299,유니퀘스트(2023/12),6659.0,340.0,163.0,4544.0,2137.0,115.0,-48.0,-64.0,1268.0,5.1,2.45,6.91,3.07,112.68,752.0,8.08,9906.0,0.61,21794015.0
300,유니퀘스트(2024/12),7105.0,341.0,49.0,4824.0,2314.0,115.0,21.0,19.0,1379.0,4.81,0.7,2.37,1.06,108.45,243.0,27.36,10743.0,0.62,21600102.0
304,한국전자홀딩스(2020/12),2215.0,-2.0,-348.0,4122.0,2075.0,234.0,183.0,118.0,1090.0,-0.09,-15.71,-5.36,-8.68,98.67,-120.0,-7.808333333333334,2315.0,0.4,46803136.0
305,한국전자홀딩스(2021/12),3312.0,385.0,292.0,4636.0,3099.0,234.0,345.0,179.0,748.0,11.63,8.81,20.34,6.66,49.61,497.0,4.39,2900.0,0.75,46803136.0
306,한국전자홀딩스(2022/12),3240.0,300.0,312.0,4691.0,3453.0,234.0,40.0,-400.0,591.0,9.27,9.64,12.01,6.7,35.84,346.0,2.89,3242.0,0.31,46803136.0
307,한국전자홀딩스(2023/12),2668.0,-247.0,-288.0,5031.0,3861.0,234.0,108.0,1.0,574.0,-9.25,-10.8,-2.1,-5.93,30.3,-62.0,-14.67741935483871,3052.0,0.3,46803136.0
308,한국전자홀딩스(2024/12),2943.0,-41.0,-34.0,5179.0,3946.0,234.0,380.0,255.0,560.0,-1.4,-1.15,3.5,-0.66,31.25,105.0,6.61,3345.0,0.21,46803136.0
312,제너셈(2020/12),419.0,-10.0,-11.0,543.0,161.0,44.0,-43.0,-46.0,219.0,-2.49,-2.52,-6.32,-2.05,237.18,-121.0,-33.553719008264466,1838.0,2.21,8769174.0
313,제너셈(2021/12),597.0,56.0,52.0,679.0,276.0,44.0,44.0,36.0,217.0,9.43,8.78,18.84057971014493,7.658321060382916,146.16,598.0,14.59,3143.0,2.77,8769174.0
314,제너셈(2022/12),596.0,85.0,122.0,792.0,402.0,44.0,85.0,63.0,221.0,14.29,20.45,36.09,16.58,96.96,1395.0,3.66,4588.0,1.11,8769174.0
315,제너셈(2023/12),565.0,36.0,36.0,778.0,424.0,44.0,30.0,28.0,209.0,6.31,6.37,9.0,4.58,83.33,425.0,31.92,4857.0,2.79,8769174.0
