,Date,삼성전자,SK하이닉스,삼성바이오로직스,현대차,한화에어로스페이스,셀트리온,기아,KB금융,NAVER,신한지주,현대모비스,한화오션,메리츠금융지주,POSCO홀딩스,삼성물산,HD한국조선해양,두산에너빌리티,하나금융지주,삼성화재,삼성생명,카카오,고려아연,한국전력,HMM,LG화학,SK이노베이션,KT&G,우리금융지주,KT,삼성중공업,현대로템,기업은행,삼성SDI,LG전자,SK텔레콤,HD현대일렉트릭,LG,삼성에스디에스,포스코퓨처엠,SK,유한양행,삼성전기,포스코인터내셔널,현대글로비스,한국항공우주,대한항공,한화시스템,한미반도체,삼양식품,아모레퍼시픽,LIG넥스원,미래에셋증권,HD현대미포,DB손해보험,코웨이,HD현대,LS ELECTRIC,S-Oil,한진칼,LG생활건강,LG유플러스,한화솔루션,한국타이어앤테크놀로지,NH투자증권,두산,오리온,삼성카드,두산밥캣,삼성증권,현대건설,한국금융지주,효성중공업,LG디스플레이,LS,SKC,넷마블,삼성E&A,포스코DX,CJ,한화,CJ제일제당,GS,한국가스공사,강원랜드,한미약품,키움증권,JB금융지주,LG이노텍,BNK금융지주,현대제철,엔씨소프트,금호석유화학,현대엘리베이터,한전기술,동서,롯데케미칼,이마트,농심,한온시스템,에스원,롯데지주,엘앤에프,한화생명,미스토홀딩스,KCC,대한전선,제일기획,영원무역,한미사이언스,현대해상,한전KPS,코스맥스,롯데쇼핑,CJ대한통운,BGF리테일,아모레퍼시픽홀딩스,한국콜마,팬오션,HL만도,호텔신라,iM금융지주,풍산,씨에스윈드,오뚜기,대웅제약,HD현대인프라코어,GS건설,에스엘,신세계,대우건설,녹십자,한올바이오파마,한국앤컴퍼니,금호타이어,하이트진로,현대백화점,한솔케미칼,영원무역홀딩스,코스모신소재,한일시멘트,GS리테일,OCI홀딩스,더블유게임즈,대웅,현대위아,오리온홀딩스,종근당,롯데웰푸드,LX인터내셔널,효성티앤씨,롯데칠성,두산퓨얼셀,한샘,세방전지,동원시스템즈,세아제강지주,SK네트웍스,미원상사,롯데정밀화학,태광산업,하나투어,코오롱인더,대상,덴티움,HS효성첨단소재,GKL,율촌화학,SK케미칼,DL,녹십자홀딩스,TKG휴켐스,세아베스틸지주,KG모빌리티,코스모화학,대한유화,TCC스틸,PI첨단소재,후성,한세실업,삼아알미늄
0,2020-12-30,81000.0,118500.0,816333.0,192000.0,29482.0,324169.0,62400.0,43400.0,292500.0,32050.0,255500.0,24342.0,9810.0,272000.0,138000.0,108500.0,13030.0,34500.0,187500.0,79100.0,78179.0,401500.0,27400.0,13950.0,824000.0,186950.0,83100.0,9730.0,24000.0,6645.0,17200.0,8840.0,614832.0,135000.0,41064.0,16400.0,82658.0,178500.0,104000.0,240500.0,65802.0,178000.0,14550.0,92036.0,25800.0,21091.0,15468.0,9050.0,101000.0,206000.0,30500.0,9440.0,48000.0,43750.0,72700.0,56700.0,63100.0,69200.0,63100.0,1620000.0,11750.0,57926.0,39400.0,11300.0,52400.0,124000.0,32500.0,29650.0,40450.0,36438.0,79000.0,62200.0,17145.0,71400.0,94000.0,131500.0,13250.0,7750.0,92100.0,28300.0,381000.0,37550.0,30900.0,23500.0,346409.0,126500.0,5640.0,182500.0,5680.0,39600.0,931000.0,145000.0,39700.0,17850.0,33950.0,262892.0,151500.0,300000.0,16250.0,85000.0,35300.0,68767.0,2440.0,43700.0,197500.0,11836.0,20600.0,31700.0,73292.0,22750.0,29700.0,97534.0,102500.0,165500.0,135500.0,54900.0,50900.0,5020.0,58800.0,82300.0,6790.0,27950.0,88552.0,577000.0,165000.0,6703.0,37800.0,16250.0,239500.0,4985.0,406000.0,37500.0,14650.0,3785.0,31850.0,71400.0,196500.0,37750.0,19410.0,10500.0,29464.0,73903.0,50979.0,50300.0,53500.0,13200.0,188192.0,102000.0,24700.0,211000.0,108500.0,53500.0,104500.0,68900.0,35700.0,44550.0,4855.0,121500.0,55200.0,801000.0,54703.0,41050.0,26050.0,41100.0,149000.0,16700.0,20550.0,261876.0,75000.0,41500.0,25650.0,10600.0,13140.0,10497.0,230000.0,5290.0,37000.0,11524.0,17500.0,11550.0
1,2021-12-30,78300.0,131000.0,892432.0,209000.0,49655.0,182162.0,82200.0,55000.0,378500.0,36800.0,254500.0,20478.0,44000.0,274500.0,119000.0,94600.0,20400.0,42050.0,202000.0,64100.0,112500.0,511000.0,22100.0,26900.0,615000.0,234672.0,79000.0,12700.0,30600.0,5670.0,20800.0,10300.0,641266.0,138000.0,57900.0,19900.0,80900.0,156500.0,144000.0,251000.0,56854.0,197500.0,22450.0,84033.0,32450.0,29350.0,16000.0,18925.0,94800.0,167000.0,68600.0,8650.0,70000.0,54000.0,74400.0,53700.0,55800.0,85700.0,61400.0,1097000.0,13600.0,44290.0,39700.0,12500.0,118000.0,103500.0,31500.0,40750.0,44900.0,44450.0,80700.0,58300.0,22737.0,54100.0,174500.0,125000.0,22900.0,6560.0,83400.0,31400.0,387500.0,39100.0,39100.0,24050.0,265940.0,107000.0,8350.0,364000.0,8400.0,41000.0,643000.0,166000.0,41200.0,85000.0,31000.0,206694.0,151000.0,318500.0,13450.0,73900.0,29900.0,222400.0,2935.0,35850.0,315000.0,15388.0,22850.0,43650.0,53209.0,22950.0,38550.0,87400.0,87200.0,126000.0,145500.0,44350.0,40250.0,5410.0,63400.0,78000.0,9380.0,31150.0,65700.0,456000.0,148000.0,7080.0,39600.0,31200.0,254000.0,5770.0,218000.0,21050.0,15700.0,4610.0,30150.0,75100.0,305500.0,46750.0,45588.0,21000.0,26000.0,82644.0,49031.0,31050.0,79900.0,15950.0,96619.0,120500.0,26450.0,521000.0,133500.0,48000.0,92600.0,75900.0,51200.0,103000.0,5020.0,203500.0,75000.0,1043000.0,72872.0,70900.0,23300.0,69800.0,596000.0,13150.0,27250.0,149000.0,60900.0,27150.0,23150.0,19900.0,13140.0,13854.0,183000.0,9680.0,55100.0,22560.0,21950.0,27000.0
2,2022-12-29,55300.0,75000.0,821000.0,151000.0,76137.0,153292.0,59300.0,48500.0,177500.0,35200.0,200500.0,16835.0,42700.0,276500.0,113500.0,70700.0,15400.0,42050.0,200000.0,71000.0,53100.0,564000.0,21800.0,19550.0,600000.0,151528.0,91500.0,11550.0,33800.0,5110.0,28400.0,9820.0,578608.0,86500.0,47400.0,42500.0,78100.0,123000.0,180000.0,189000.0,54745.0,130500.0,22600.0,81782.0,50900.0,22950.0,10550.0,11500.0,127000.0,137500.0,92200.0,6080.0,84500.0,65300.0,55900.0,57100.0,56400.0,83400.0,37450.0,722000.0,11050.0,53647.0,31150.0,8770.0,83100.0,128000.0,29550.0,34600.0,31450.0,34900.0,53300.0,78000.0,11507.0,69700.0,88500.0,60400.0,22250.0,6250.0,84100.0,25650.0,380500.0,43800.0,36200.0,23200.0,292377.0,84000.0,7890.0,252500.0,6500.0,30600.0,448000.0,126000.0,28300.0,54600.0,20200.0,178500.0,98000.0,357000.0,8090.0,59300.0,30800.0,173500.0,2770.0,33250.0,204500.0,13580.0,23050.0,46950.0,32450.0,29450.0,33200.0,74100.0,91000.0,93700.0,210500.0,34900.0,42600.0,5730.0,40300.0,83100.0,6990.0,33650.0,68800.0,476000.0,158500.0,8000.0,21150.0,22950.0,220000.0,4180.0,129500.0,17800.0,13950.0,2780.0,25550.0,59000.0,185500.0,61400.0,51169.0,11650.0,24076.0,64208.0,40013.0,20350.0,49450.0,15350.0,74846.0,122500.0,33950.0,350000.0,176000.0,29350.0,44600.0,42350.0,40600.0,146500.0,3870.0,166000.0,56700.0,746000.0,60500.0,41150.0,21900.0,100000.0,333500.0,18900.0,36450.0,73200.0,59200.0,17000.0,20000.0,16300.0,13140.0,20220.0,171500.0,9350.0,28900.0,10450.0,15400.0,41400.0
3,2023-12-28,78500.0,141500.0,760000.0,203500.0,128793.0,192450.0,100000.0,54100.0,224000.0,40150.0,237000.0,25100.0,59100.0,499500.0,129500.0,120900.0,15900.0,43400.0,263000.0,69100.0,54300.0,498000.0,18900.0,19580.0,499000.0,140300.0,86900.0,13000.0,34400.0,7750.0,26600.0,11860.0,462103.0,101800.0,50100.0,82200.0,85900.0,170000.0,359000.0,178000.0,68800.0,153200.0,62400.0,95787.0,50000.0,23900.0,17360.0,61700.0,216000.0,145000.0,130500.0,7630.0,84900.0,83700.0,57200.0,63300.0,73200.0,69600.0,72800.0,355000.0,10230.0,39500.0,45400.0,10330.0,93900.0,116100.0,32350.0,50400.0,38500.0,34900.0,61300.0,161900.0,11775.0,93200.0,90600.0,58100.0,29000.0,74200.0,94400.0,25750.0,324000.0,40900.0,24700.0,16000.0,352500.0,99500.0,11390.0,239500.0,7140.0,36500.0,240500.0,132900.0,44350.0,62100.0,18200.0,153200.0,76600.0,407000.0,7290.0,60000.0,27050.0,204000.0,2830.0,38700.0,228500.0,9156.0,19030.0,45600.0,39200.0,31000.0,34050.0,126400.0,75000.0,127200.0,131300.0,29250.0,53600.0,3735.0,39350.0,65400.0,8490.0,39200.0,70200.0,400000.0,116800.0,8120.0,15020.0,35700.0,175200.0,4145.0,125500.0,44300.0,15600.0,5390.0,22500.0,51800.0,227000.0,78000.0,147300.0,12790.0,19714.0,106200.0,40267.0,20650.0,65100.0,14600.0,125045.0,123800.0,29400.0,365000.0,146600.0,23200.0,53500.0,58200.0,34500.0,240000.0,5750.0,170400.0,58000.0,610000.0,52100.0,44500.0,20750.0,131000.0,399500.0,13490.0,31700.0,67300.0,51400.0,16350.0,21500.0,24850.0,8680.0,39000.0,153000.0,58800.0,30500.0,11700.0,21050.0,106400.0
4,2024-12-30,53200.0,173900.0,949000.0,212000.0,326500.0,187500.0,100700.0,82900.0,198900.0,47650.0,236500.0,37350.0,104000.0,253500.0,114800.0,228000.0,17550.0,56800.0,358500.0,94800.0,38200.0,1006000.0,20050.0,17660.0,250000.0,112000.0,107100.0,15370.0,43850.0,11300.0,49700.0,14330.0,242310.0,83500.0,55200.0,382000.0,72000.0,127800.0,142100.0,131500.0,119500.0,123800.0,39650.0,118100.0,54900.0,22600.0,22600.0,82500.0,765000.0,104800.0,220500.0,8030.0,134200.0,102800.0,66900.0,79200.0,160800.0,54800.0,75400.0,305000.0,10330.0,16120.0,38400.0,13950.0,255000.0,102400.0,39450.0,41900.0,43500.0,25400.0,71300.0,393000.0,9130.0,94300.0,105100.0,51700.0,16550.0,19080.0,99100.0,26900.0,255500.0,39300.0,34700.0,15970.0,280500.0,116200.0,16280.0,162000.0,10340.0,21050.0,183100.0,90600.0,52400.0,53000.0,27350.0,59800.0,63400.0,374000.0,4010.0,59200.0,21800.0,81000.0,2460.0,40300.0,235500.0,11150.0,16950.0,42400.0,29450.0,24700.0,44100.0,149100.0,54100.0,84400.0,102500.0,20800.0,55100.0,3300.0,40650.0,36900.0,8180.0,49950.0,41900.0,395500.0,126400.0,6890.0,17350.0,30150.0,133000.0,3105.0,179500.0,38650.0,16920.0,4775.0,19520.0,47250.0,97000.0,83200.0,51500.0,14520.0,16500.0,58800.0,53900.0,21600.0,37800.0,15060.0,89000.0,111600.0,27050.0,239000.0,112000.0,15960.0,47550.0,71900.0,40300.0,180500.0,4150.0,188000.0,39350.0,607000.0,54300.0,27150.0,19190.0,62200.0,174600.0,11040.0,20700.0,44300.0,31600.0,17320.0,17050.0,19760.0,3770.0,15300.0,77700.0,27200.0,16890.0,4975.0,14170.0,33850.0
