,Date,큐엠씨,타이거일렉,피에스케이홀딩스,주성엔지니어링,디엔에프,티이엠씨씨엔에스,성우테크론,브이엠,피에스케이,테크엘,APS,알에프세미,아이케이세미콘,NPX,케이엔제이,예스티,엔시트론,신성이엔지,픽셀플러스,엑사이엔씨,원익홀딩스,코미코,엔투텍,메카로,이엔에프테크놀로지,엘오티베큠,디아이,삼성전자우,제우스,미코,젬백스,삼성전자,케이씨,서플러스글로벌,LB세미콘,유진테크,하나마이크론,씨앤지하이테크,유니트론텍,월덱스,러셀,유니테스트,동운아나텍,한솔아이원스,두산테스나,어보브반도체,제주반도체,KX하이텍,해성디에스,싸이맥스,티씨케이,리노공업,와이씨,엠케이전자,GST,매커스,프로텍,하나머티리얼즈,에스앤에스텍,원익IPS,네패스,동진쎄미켐,로체시스템즈,마이크로컨텍솔,오디텍,피델릭스,SK하이닉스,SFA반도체,유니셈,램테크놀러지,알파홀딩스,텔레칩스,코세스,한미반도체,피엠티,에이디테크놀로지,제이티,뉴파워프라즈마,칩스앤미디어,네오셈,유니퀘스트,네온테크,윈팩,에프에스티,덕산하이메탈,한국전자홀딩스,이엘씨,큐에스아이,에스티아이,제너셈,케이엔더블유,케이알엠,엘티씨,테스,에이팩트,미래산업,라온테크,DB하이텍,한양디지텍,티에스이,아이텍,원익QnC,ISC,이오테크닉스,테크윙,오킨스전자,인텍플러스,KEC,다원넥스뷰,아진엑스텍,케이씨텍,아이앤씨,HLB이노베이션,시그네틱스,엑시콘,덕산테코피아,지니틱스
0,2020-12-30,5040.0,15000.0,8300.0,8210.0,21200.0,18100.0,4401.0,19900.0,20275.0,7000.0,8210.0,5800.0,4990.0,5300.0,14100.0,8900.0,867.0,3440.0,7440.0,1485.0,6340.0,49950.0,4530.0,14050.0,47650.0,19000.0,4775.0,73600.0,9633.0,15100.0,23900.0,81000.0,27650.0,3150.0,14750.0,33350.0,7773.0,13667.0,5719.0,17600.0,2880.0,27200.0,11307.0,7100.0,56200.0,17700.0,3745.0,1625.0,24400.0,20800.0,125300.0,135000.0,6250.0,10550.0,8619.0,5010.0,27400.0,28600.0,43500.0,44250.0,42500.0,36500.0,6450.0,6170.0,5260.0,1305.0,118500.0,5770.0,8570.0,6840.0,4585.0,13000.0,8800.0,9050.0,6610.0,30450.0,12950.0,6590.0,6100.0,3615.0,7350.0,2890.0,1469.0,26418.0,6400.0,937.0,16500.0,16600.0,18100.0,4060.0,6410.0,3405.0,12350.0,29650.0,4904.0,1905.0,12650.0,51000.0,5400.0,62700.0,8600.0,21250.0,27000.0,117000.0,11975.0,13150.0,15700.0,2730.0,19250.0,6060.0,30750.0,4300.0,1415.0,853.0,15786.0,17800.0,2495.0
1,2021-12-30,3200.0,20900.0,17900.0,21000.0,22850.0,16600.0,5129.0,22150.0,26400.0,7000.0,14850.0,5990.0,7370.0,10300.0,17150.0,13850.0,1290.0,2145.0,12150.0,1360.0,4980.0,67100.0,1665.0,14000.0,34250.0,17200.0,9360.0,71200.0,7816.0,14450.0,17500.0,78300.0,22850.0,4380.0,13350.0,51700.0,17353.0,13672.0,5223.0,28650.0,4670.0,29650.0,8015.0,10550.0,49950.0,14250.0,6500.0,1820.0,48850.0,20000.0,148500.0,198300.0,6200.0,18500.0,18868.0,8030.0,26850.0,62800.0,36800.0,42300.0,38350.0,51000.0,6090.0,14100.0,6560.0,1540.0,131000.0,7690.0,14600.0,8600.0,3040.0,17400.0,15300.0,18925.0,8920.0,24100.0,10600.0,6410.0,11850.0,3620.0,6050.0,4060.0,1670.0,25129.0,10275.0,2180.0,9080.0,26050.0,21200.0,8720.0,15500.0,4550.0,11600.0,29750.0,4449.0,1758.0,15836.0,72700.0,18050.0,73700.0,9280.0,28600.0,35350.0,119500.0,11443.0,26950.0,32450.0,3451.0,79900.0,11950.0,24050.0,3970.0,1260.0,2520.0,14447.0,30850.0,3220.0
2,2022-12-29,2800.0,20050.0,6850.0,10600.0,13200.0,13300.0,3760.0,10600.0,15400.0,5680.0,15750.0,2310.0,7780.0,4540.0,12850.0,7200.0,706.0,1555.0,7690.0,1345.0,3395.0,43100.0,719.0,10800.0,20200.0,11300.0,4745.0,50500.0,8583.0,7330.0,11850.0,55300.0,17050.0,3490.0,6590.0,22150.0,7940.0,11641.0,3775.0,18600.0,2640.0,10500.0,9018.0,6630.0,27500.0,8100.0,3580.0,1180.0,35850.0,11600.0,94600.0,155500.0,2805.0,11200.0,9822.0,7900.0,21200.0,32700.0,26350.0,24750.0,15650.0,29950.0,7970.0,5210.0,4385.0,1280.0,75000.0,3845.0,5620.0,5430.0,1170.0,11050.0,10100.0,11500.0,4550.0,12300.0,6810.0,3540.0,7050.0,3365.0,4125.0,3340.0,943.0,15464.0,4790.0,1000.0,5050.0,9430.0,11950.0,5100.0,8100.0,4735.0,10000.0,15700.0,2475.0,1357.0,8750.0,37150.0,12150.0,36950.0,6680.0,23400.0,31350.0,66600.0,5640.0,18400.0,13750.0,1819.0,54000.0,7790.0,14800.0,2495.0,948.0,1030.0,8696.0,13500.0,1340.0
3,2023-12-28,1300.0,19990.0,26950.0,34200.0,23950.0,12860.0,3993.0,14100.0,21050.0,3785.0,6700.0,3565.0,8870.0,8000.0,19340.0,16590.0,622.0,2040.0,6940.0,880.0,3370.0,64500.0,621.0,8970.0,24700.0,20150.0,6300.0,62300.0,15616.0,9080.0,13280.0,78500.0,18410.0,3645.0,7730.0,40800.0,24918.0,12592.0,4100.0,25600.0,3135.0,13390.0,19150.0,9900.0,58600.0,13810.0,13700.0,1221.0,55400.0,14440.0,111300.0,202500.0,4985.0,12230.0,13806.0,12500.0,45650.0,50200.0,45300.0,33950.0,19670.0,38700.0,6230.0,13970.0,4745.0,1632.0,141500.0,6030.0,8420.0,5470.0,945.0,33300.0,10780.0,61700.0,5170.0,32300.0,8550.0,5250.0,31850.0,7850.0,6080.0,2560.0,1264.0,24436.0,7160.0,910.0,7200.0,9920.0,29550.0,13560.0,8520.0,8840.0,15140.0,20100.0,3265.0,1903.0,9480.0,58600.0,14220.0,49450.0,7180.0,28700.0,80300.0,152900.0,11450.0,9000.0,30250.0,1557.0,10000.0,10170.0,26800.0,2745.0,3120.0,1236.0,17221.0,18690.0,1594.0
4,2024-12-30,1399.0,12780.0,38050.0,29450.0,8820.0,4630.0,2520.0,6870.0,16500.0,1833.0,5260.0,2965.0,5200.0,8040.0,13550.0,9820.0,397.0,1171.0,6490.0,699.0,2550.0,36600.0,435.0,8340.0,16820.0,8350.0,14480.0,44200.0,11880.0,8020.0,14800.0,53200.0,16590.0,2555.0,3560.0,31300.0,9240.0,9310.0,4855.0,16940.0,1446.0,8790.0,17990.0,6410.0,25000.0,7570.0,8920.0,873.0,23400.0,8530.0,70900.0,191600.0,10210.0,6580.0,16740.0,8230.0,21850.0,22950.0,25600.0,22350.0,6550.0,20900.0,17690.0,5120.0,3005.0,1200.0,173900.0,3085.0,5890.0,2940.0,945.0,12700.0,6570.0,82500.0,2840.0,15950.0,3595.0,4420.0,15720.0,8740.0,6650.0,2700.0,616.0,15730.0,3850.0,694.0,4905.0,10370.0,17450.0,6780.0,3475.0,4380.0,8790.0,15500.0,2145.0,802.0,6220.0,33150.0,8530.0,41250.0,5290.0,17820.0,72100.0,139200.0,38450.0,4430.0,10030.0,780.0,5000.0,6580.0,26050.0,1799.0,2510.0,864.0,10600.0,29650.0,1125.0
