,단축코드,GICS Sector,한글 종목약명,영문 종목명
103,000270,Consumer Discretionary,기아,KIA CORPORATION
104,039490,Financials,키움증권,KIWOOM Securities
105,161890,Consumer Staples,한국콜마,KOLMAR KOREA
106,120110,Energy & Chemicals,코오롱인더,KOLON INDUSTRIES
107,047810,Industrials,한국항공우주,KOREA AEROSPACE INDUSTRIES
108,036460,Consumer Staples,한국가스공사,KoreaGasCorporation
109,071050,Financials,한국금융지주,KOREA INVESTMENT HOLDINGS
110,006650,Energy & Chemicals,대한유화,KOREA PETRO CHEMICAL IND
111,010130,Steels & Materials,고려아연,KoreaZinc
112,003490,Industrials,대한항공,KoreanAirLines
113,259960,Communication Services,크래프톤,KRAFTON
114,030200,Communication Services,KT,KTCorporation
115,033780,Consumer Staples,KT&G,KT&G Corporation
116,011780,Energy & Chemicals,금호석유화학,KumhoPetrochemical
117,073240,Consumer Discretionary,금호타이어,"KUMHOTIRECO.,INC"
118,066970,Industrials,엘앤에프,L&F
119,003550,IT,LG,LG Corp.
120,051910,Energy & Chemicals,LG화학,"LGCHEM,LTD"
121,034220,IT,LG디스플레이,LG Display
122,066570,IT,LG전자,LGELECTRONICS
123,373220,Industrials,LG에너지솔루션,LG Energy Solution
124,051900,Consumer Staples,LG생활건강,LG H&H
125,011070,IT,LG이노텍,LG Innotek
126,032640,Communication Services,LG유플러스,LG Uplus
127,079550,Industrials,LIG넥스원,"LIG Nex1 Co., Ltd."
128,004990,Consumer Staples,롯데지주,Lotte Corporation
129,011170,Energy & Chemicals,롯데케미칼,LOTTE CHEMICAL CORPORATION
130,005300,Consumer Staples,롯데칠성,LotteChilsungBeverage
131,004000,Energy & Chemicals,롯데정밀화학,LOTTE Fine Chemical
132,023530,Consumer Discretionary,롯데쇼핑,"LOTTE SHOPPING CO., LTD."
133,280360,Consumer Staples,롯데웰푸드,LOTTE WELLFOOD
134,006260,Industrials,LS,LS
135,010120,Industrials,LS ELECTRIC,LS ELECTRIC
136,001120,Industrials,LX인터내셔널,LX INTERNATIONAL CORP.
137,138040,Financials,메리츠금융지주,Meritz Financial Group
138,006800,Financials,미래에셋증권,MIRAE ASSET SECURITIES
139,002840,Energy & Chemicals,미원상사,MiwonCommercial
140,035420,Communication Services,NAVER,NAVER
141,036570,Communication Services,엔씨소프트,NCsoftCorporation
142,251270,Communication Services,넷마블,Netmarble Corporation
143,005940,Financials,NH투자증권,NH INVESTMENT & SECURITIES
144,004370,Consumer Staples,농심,Nongshim
145,456040,Energy & Chemicals,OCI,OCI
146,010060,Energy & Chemicals,OCI홀딩스,OCI Holdings Company Ltd.
147,271560,Consumer Staples,오리온,ORION
148,001800,Consumer Staples,오리온홀딩스,ORION Holdings
149,007310,Consumer Staples,오뚜기,OTOKI
150,028670,Industrials,팬오션,PanOcean
151,178920,Energy & Chemicals,PI첨단소재,"PI Advanced Materials Co., Ltd."
152,103140,Steels & Materials,풍산,POONGSAN CORPORATION
153,005490,Steels & Materials,POSCO홀딩스,POSCO Holdings Inc.
154,022100,IT,포스코DX,POSCO DX
155,003670,Industrials,포스코퓨처엠,POSCO FUTURE M
156,047050,Industrials,포스코인터내셔널,POSCO INTERNATIONAL
157,012750,Industrials,에스원,S-1
158,006110,Steels & Materials,삼아알미늄,SamaAluminium
159,207940,Health Care,삼성바이오로직스,SAMSUNG BIOLOGICS
160,028260,Constructions,삼성물산,SAMSUNG C&T CORPORATION
161,029780,Financials,삼성카드,"SAMSUNG CARD CO., LTD."
162,028050,Constructions,삼성E&A,SamsungE&A
163,009150,IT,삼성전기,SamsungElectroMechanics
164,005930,IT,삼성전자,SamsungElectronics
165,000810,Financials,삼성화재,SamsungFire&MarineInsurance
166,010140,Heavy Industries,삼성중공업,SamsungHeavyIndustries
167,032830,Financials,삼성생명,Samsung Life Insurance
168,006400,IT,삼성SDI,"SAMSUNG SDI CO.,LTD."
169,018260,IT,삼성에스디에스,"SAMSUNG SDS CO., LTD."
170,016360,Financials,삼성증권,SamsungSecurities
171,003230,Consumer Staples,삼양식품,SamyangFoods
172,137310,Health Care,에스디바이오센서,SD Biosensor
173,001430,Steels & Materials,세아베스틸지주,SeAH Besteel Holdings Corporation
174,003030,Steels & Materials,세아제강지주,SeAH Steel Holdings Corporation
175,004490,Consumer Discretionary,세방전지,SEBANG GLOBAL BATTERY
176,055550,Financials,신한지주,"ShinhanFinancialGroup Co.,Ltd."
177,004170,Consumer Discretionary,신세계,"Shinsegae Co.,Ltd"
178,034730,Energy & Chemicals,SK,SK
179,326030,Health Care,SK바이오팜,SK BIOPHARMACEUTICALS
180,302440,Health Care,SK바이오사이언스,SK BIOSCIENCE
181,285130,Energy & Chemicals,SK케미칼,SKCHEMICALS
182,000660,IT,SK하이닉스,SK hynix
183,361610,Industrials,SK아이이테크놀로지,SK ie technology
184,096770,Energy & Chemicals,SK이노베이션,SK Innovation
185,001740,Industrials,SK네트웍스,"SKNetworksCo.,Ltd"
186,402340,IT,SK스퀘어,SKSQUARE
187,017670,Communication Services,SK텔레콤,SKTelecom
188,011790,Energy & Chemicals,SKC,SKC
189,005850,Consumer Discretionary,에스엘,SLCORPORATION
190,010950,Energy & Chemicals,S-Oil,S-OilCorporation
191,003240,Energy & Chemicals,태광산업,TaekwangIndustrial
192,001440,Industrials,대한전선,TaihanElectricWire
193,002710,Steels & Materials,TCC스틸,TCC STEEL
194,069260,Energy & Chemicals,TKG휴켐스,TKG Huchems
195,316140,Financials,우리금융지주,WooriFinancialGroup
196,008730,Steels & Materials,율촌화학,YoulchonChemical
197,111770,Consumer Discretionary,영원무역,Youngone Corporation
198,009970,Consumer Discretionary,영원무역홀딩스,YoungoneHoldings
199,000100,Health Care,유한양행,Yuhan
