기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
라온텍(2023/12),107.0,-22.0,-22.0,-71.0,-71.0,-71.0,,357.0,143.0,214.0,214.0,,30.0,-31.0,-75.0,101.0,153.0,-184.0,108.0,-20.04,-65.88,-49.02,-29.34,66.68,545.14,-243.0,,726.0,13.8,0.0,0.0,0.0,29546558.0
라온텍(2024/12),89.0,-70.0,-70.0,-65.0,-65.0,-65.0,,282.0,120.0,161.0,161.0,,30.0,-39.0,118.0,-26.0,16.0,-55.0,75.0,-78.5,-72.76,-34.52,-20.3,74.55,376.89,-216.0,,537.0,6.61,,,,30108433.0
라온텍(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라온텍(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라온텍(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신성이엔지(2020/12),4824.0,185.0,185.0,34.0,-137.0,-137.0,0.0,4234.0,2320.0,1915.0,1914.0,1.0,1008.0,240.0,-117.0,18.0,157.0,83.0,1060.0,3.84,-2.84,-8.77,-3.27,121.16,105.44,-75.0,,961.0,3.58,0.0,0.0,0.0,201433941.0
신성이엔지(2021/12),4545.0,24.0,24.0,-175.0,-159.0,-159.0,0.0,4767.0,2686.0,2080.0,2079.0,2.0,1022.0,-213.0,-68.0,120.0,196.0,-409.0,1171.0,0.53,-3.49,-7.97,-3.52,129.12,89.55,-78.0,,1029.0,2.08,0.0,0.0,0.0,204217781.0
신성이엔지(2022/12),6641.0,210.0,210.0,475.0,343.0,341.0,1.0,5776.0,3664.0,2112.0,2109.0,2.0,1030.0,-240.0,301.0,47.0,138.0,-378.0,2059.0,3.16,5.16,16.3,6.5,173.5,123.37,166.0,9.37,1036.0,1.5,0.0,0.0,0.0,205848151.0
신성이엔지(2023/12),5765.0,74.0,74.0,144.0,153.0,162.0,-10.0,5877.0,3451.0,2426.0,2433.0,-7.0,1030.0,468.0,-318.0,-103.0,225.0,243.0,1962.0,1.28,2.65,7.14,2.62,142.27,139.11,79.0,25.88,1195.0,1.71,,,0.0,205848151.0
신성이엔지(2024/12),5823.0,50.0,50.0,-122.0,-140.0,-141.0,1.0,6053.0,3677.0,2375.0,2382.0,-6.0,1030.0,28.0,-219.0,343.0,106.0,-79.0,2322.0,0.86,-2.4,-5.85,-2.34,154.8,125.45,-68.0,,1170.0,1.0,,,,205848151.0
신성이엔지(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신성이엔지(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신성이엔지(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엔투텍(2020/12),292.0,34.0,34.0,-100.0,-382.0,-379.0,-2.0,872.0,328.0,544.0,543.0,1.0,71.0,-67.0,-69.0,141.0,107.0,-173.0,109.0,11.56,-130.46,-76.09,-38.9,60.19,656.5,-695.0,,765.0,2.89,0.0,0.0,0.0,70914180.0
엔투텍(2021/12),296.0,14.0,14.0,61.0,31.0,31.0,0.0,1196.0,298.0,898.0,893.0,5.0,92.0,79.0,-168.0,447.0,6.0,73.0,68.0,4.62,10.43,4.29,2.98,33.19,864.75,38.0,38.12,975.0,1.48,0.0,0.0,0.0,91571575.0
엔투텍(2022/12),214.0,-19.0,-19.0,10.0,10.0,8.0,2.0,1092.0,120.0,972.0,965.0,8.0,100.0,-18.0,-193.0,-77.0,7.0,-25.0,49.0,-9.03,4.6,0.83,0.86,12.33,850.82,8.0,87.31,962.0,0.75,0.0,0.0,0.0,100301731.0
엔투텍(2023/12),131.0,-33.0,-33.0,99.0,111.0,107.0,4.0,1203.0,79.0,1123.0,1112.0,12.0,104.0,17.0,20.0,-64.0,6.0,11.0,6.0,-25.4,85.22,10.34,9.7,7.06,961.39,105.0,5.94,1074.0,0.58,0.0,0.0,0.0,103575530.0
엔투텍(2024/12),136.0,-35.0,-35.0,-279.0,-253.0,-256.0,3.0,936.0,70.0,866.0,866.0,,104.0,-56.0,104.0,-3.0,7.0,-63.0,5.0,-25.87,-185.52,-25.86,-23.62,8.13,713.41,-247.0,,836.0,0.52,,,,103575530.0
엔투텍(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엔투텍(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엔투텍(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLB이노베이션(2020/12),383.0,-27.0,-27.0,-38.0,-38.0,-38.0,,335.0,186.0,149.0,149.0,,200.0,22.0,-12.0,-2.0,13.0,9.0,82.0,-7.12,-9.93,-22.21,-11.2,124.32,-15.06,-95.0,,373.0,4.32,0.0,0.0,0.0,40016523.0
HLB이노베이션(2021/12),507.0,8.0,8.0,-8.0,-8.0,-8.0,,380.0,230.0,150.0,150.0,,203.0,10.0,-36.0,32.0,5.0,5.0,139.0,1.67,-1.66,-5.64,-2.36,153.5,-16.44,-21.0,,370.0,3.27,0.0,0.0,0.0,40573626.0
