기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
제너셈(2024/12),687.0,65.0,65.0,72.0,61.0,61.0,0.0,864.0,365.0,499.0,500.0,-1.0,44.0,101.0,-8.0,-9.0,16.0,86.0,204.0,9.52,8.91,13.14,7.46,73.24,736.9,694.0,9.77,5701.0,1.19,75.0,1.11,10.81,8769174.0
제너셈(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제너셈(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제너셈(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
저스템(2020/12),438.0,79.0,79.0,77.0,65.0,65.0,,310.0,116.0,194.0,194.0,,2.0,98.0,-17.0,-2.0,4.0,94.0,20.0,18.03,14.75,40.35,22.51,59.78,8408.18,1250.0,,3753.0,0.0,0.0,,,4620000.0
저스템(2021/12),448.0,72.0,72.0,66.0,57.0,57.0,,439.0,212.0,226.0,226.0,,24.0,50.0,-220.0,77.0,145.0,-95.0,122.0,16.05,12.79,27.28,15.32,93.9,794.22,1109.0,,4374.0,0.0,0.0,,0.0,4895000.0
저스템(2022/12),461.0,71.0,71.0,74.0,63.0,63.0,,705.0,197.0,508.0,508.0,,35.0,83.0,-40.0,184.0,52.0,31.0,100.0,15.5,13.71,17.22,11.06,38.73,1310.3,1145.0,6.56,7262.0,1.03,0.0,0.0,0.0,7072225.0
저스템(2023/12),359.0,3.0,3.0,-48.0,-34.0,-34.0,0.0,826.0,339.0,486.0,486.0,0.0,36.0,-82.0,-292.0,111.0,242.0,-324.0,207.0,0.87,-9.42,,,69.81,1234.71,-475.0,,6945.0,1.82,,,0.0,7158525.0
저스템(2024/12),387.0,-46.0,-46.0,-32.0,-22.0,-21.0,0.0,795.0,313.0,482.0,482.0,0.0,36.0,43.0,-14.0,-13.0,29.0,14.0,200.0,-11.91,-5.58,-4.41,-2.67,64.97,1180.79,-295.0,,6802.0,1.0,,,,7249175.0
저스템(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
저스템(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
저스템(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네오셈(2020/12),486.0,120.0,120.0,100.0,81.0,81.0,,640.0,208.0,432.0,432.0,,38.0,138.0,-2.0,-79.0,2.0,136.0,138.0,24.69,16.6,20.01,12.6,48.06,1140.11,215.0,16.8,1193.0,3.03,20.0,0.55,8.98,37575588.0
네오셈(2021/12),372.0,48.0,48.0,63.0,56.0,56.0,,888.0,379.0,509.0,509.0,,38.0,-46.0,-169.0,163.0,26.0,-71.0,303.0,13.04,15.18,11.99,7.38,74.46,1324.38,150.0,24.12,1401.0,2.58,15.0,0.41,9.66,37677501.0
네오셈(2022/12),747.0,84.0,84.0,113.0,100.0,100.0,,1308.0,685.0,623.0,623.0,,38.0,133.0,14.0,-89.0,32.0,101.0,233.0,11.2,13.39,17.66,9.1,110.04,1635.38,262.0,12.86,1714.0,1.96,35.0,1.04,12.72,38454626.0
네오셈(2023/12),1009.0,81.0,81.0,93.0,83.0,83.0,,1064.0,196.0,868.0,868.0,,43.0,106.0,-84.0,-22.0,55.0,50.0,53.0,8.01,8.21,11.11,6.98,22.62,1998.82,207.0,37.87,2101.0,3.74,30.0,0.38,14.97,43446155.0
네오셈(2024/12),1052.0,165.0,165.0,226.0,192.0,192.0,,1419.0,260.0,1159.0,1159.0,,44.0,193.0,-44.0,69.0,42.0,151.0,51.0,15.65,18.26,18.96,15.47,22.44,2547.51,438.0,19.94,2727.0,3.2,60.0,0.69,13.27,43869164.0
네오셈(2025/12)(예측),1315.0,243.0,,262.0,228.0,228.0,,1426.0,224.0,1202.0,1202.0,,44.0,166.0,-152.0,-18.0,150.0,34.0,,18.48,17.34,19.31,16.03,18.64,,520.0,17.74,2828.0,3.26,30.0,0.33,5.77,
네오셈(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네오셈(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엑사이엔씨(2020/12),2343.0,10.0,10.0,0.0,-3.0,-8.0,5.0,1623.0,925.0,698.0,591.0,107.0,166.0,-56.0,-69.0,155.0,12.0,-69.0,378.0,0.41,-0.11,-1.38,-0.17,132.38,212.29,-23.0,,1782.0,0.83,,,0.0,33173548.0
엑사이엔씨(2021/12),2208.0,-40.0,-40.0,-22.0,-37.0,-47.0,10.0,1788.0,1121.0,667.0,540.0,127.0,166.0,-124.0,16.0,104.0,13.0,-138.0,500.0,-1.82,-1.68,-8.26,-2.17,168.09,184.13,-141.0,,1628.0,0.84,,,0.0,33173548.0
엑사이엔씨(2022/12),2268.0,93.0,93.0,79.0,79.0,75.0,4.0,1513.0,779.0,734.0,615.0,120.0,166.0,258.0,-7.0,-104.0,21.0,236.0,390.0,4.11,3.5,13.06,4.8,106.03,230.16,227.0,5.92,1853.0,0.73,,,0.0,33173548.0
엑사이엔씨(2023/12),1743.0,34.0,34.0,18.0,-9.0,-8.0,-1.0,1380.0,652.0,728.0,609.0,119.0,166.0,24.0,-9.0,-77.0,37.0,-12.0,311.0,1.96,-0.51,-1.24,-0.62,89.57,225.6,-23.0,,1836.0,0.48,,,0.0,33173548.0
엑사이엔씨(2024/12),2031.0,85.0,85.0,111.0,77.0,67.0,10.0,1694.0,857.0,837.0,690.0,147.0,166.0,57.0,-75.0,-21.0,27.0,31.0,315.0,4.19,3.8,10.39,5.02,102.43,266.27,203.0,3.44,2079.0,0.34,,,,33173548.0
엑사이엔씨(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엑사이엔씨(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엑사이엔씨(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘오티베큠(2020/12),1712.0,42.0,42.0,24.0,40.0,34.0,6.0,2276.0,656.0,1620.0,1599.0,21.0,83.0,255.0,-14.0,50.0,69.0,185.0,270.0,2.43,2.34,2.39,1.83,40.48,1901.24,242.0,78.67,10105.0,1.88,50.0,0.26,23.25,16539093.0
엘오티베큠(2021/12),2596.0,264.0,264.0,299.0,207.0,201.0,6.0,2638.0,704.0,1934.0,1907.0,27.0,89.0,235.0,-149.0,-60.0,116.0,119.0,184.0,10.15,7.97,11.48,8.42,36.43,2176.8,1151.0,14.94,11468.0,1.5,100.0,0.58,8.26,17810033.0
엘오티베큠(2022/12),3742.0,298.0,298.0,274.0,221.0,246.0,-26.0,3237.0,1122.0,2115.0,2107.0,8.0,89.0,72.0,-253.0,78.0,71.0,1.0,334.0,7.97,5.9,12.27,7.51,53.02,2438.68,1383.0,8.17,12896.0,0.88,100.0,0.88,6.63,17810033.0
엘오티베큠(2023/12),4730.0,672.0,672.0,617.0,503.0,535.0,-32.0,3681.0,1079.0,2601.0,2569.0,32.0,89.0,830.0,-322.0,-10.0,65.0,765.0,356.0,14.2,10.63,22.87,14.54,41.5,2958.13,3002.0,6.71,15723.0,1.28,200.0,0.99,6.11,17810033.0
엘오티베큠(2024/12),2660.0,-42.0,-42.0,41.0,24.0,17.0,7.0,3392.0,824.0,2568.0,2529.0,39.0,89.0,44.0,-105.0,-117.0,46.0,-2.0,338.0,-1.57,0.89,0.65,0.67,32.07,2940.05,93.0,89.7,15762.0,0.53,,,,17810033.0
엘오티베큠(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘오티베큠(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘오티베큠(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
알에프세미(2020/12),339.0,-210.0,-210.0,-242.0,-203.0,-203.0,0.0,877.0,505.0,373.0,373.0,0.0,47.0,-18.0,-33.0,40.0,7.0,-25.0,406.0,-62.01,-59.89,-46.59,-21.35,135.39,714.21,-2352.0,,4016.0,1.44,0.0,0.0,0.0,9494724.0
알에프세미(2021/12),368.0,-110.0,-110.0,-118.0,-92.0,-92.0,0.0,872.0,527.0,345.0,345.0,0.0,52.0,-49.0,12.0,35.0,10.0,-58.0,382.0,-29.98,-25.04,-25.58,-10.53,152.67,580.04,-923.0,,3365.0,1.78,0.0,0.0,0.0,10474399.0
알에프세미(2022/12),332.0,-105.0,-105.0,-145.0,-137.0,-137.0,0.0,774.0,472.0,302.0,302.0,0.0,54.0,-7.0,17.0,-36.0,4.0,-11.0,351.0,-31.57,-41.29,-42.32,-16.68,156.29,286.16,-1263.0,,2779.0,0.83,0.0,0.0,0.0,10873812.0
알에프세미(2023/12),271.0,-173.0,-173.0,-362.0,-436.0,-435.0,-1.0,306.0,160.0,146.0,146.0,0.0,87.0,-16.0,62.0,-35.0,,-16.0,87.0,-63.84,-161.04,-194.16,-80.74,109.98,25.85,-3114.0,,841.0,4.24,0.0,0.0,0.0,17386411.0
알에프세미(2024/12),244.0,-26.0,-26.0,-28.0,-28.0,-28.0,,228.0,108.0,120.0,119.0,1.0,87.0,9.0,40.0,-48.0,0.0,8.0,46.0,-10.66,-11.61,-21.35,-10.61,89.49,2.63,-163.0,,685.0,4.33,,,,17386411.0
알에프세미(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
알에프세미(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
알에프세미(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPX(2020/12),161.0,30.0,30.0,17.0,22.0,22.0,,177.0,122.0,55.0,55.0,,28.0,15.0,-3.0,-2.0,0.0,15.0,85.0,18.55,13.87,51.09,13.73,221.65,93.97,352.0,9.95,864.0,4.05,0.0,0.0,0.0,5637326.0
NPX(2021/12),223.0,48.0,48.0,3.0,4.0,4.0,,289.0,52.0,237.0,237.0,,41.0,11.0,-24.0,34.0,0.0,11.0,2.0,21.57,1.89,2.89,1.81,21.88,480.26,58.0,147.91,2907.0,2.93,0.0,0.0,0.0,8143866.0
NPX(2022/12),125.0,-5.0,-5.0,-1.0,1.0,1.0,,260.0,21.0,238.0,238.0,,41.0,-13.0,-6.0,0.0,1.0,-14.0,1.0,-4.32,0.98,0.51,0.44,8.86,483.73,15.0,344.48,2928.0,1.76,0.0,0.0,0.0,8143866.0
NPX(2023/12),37.0,-67.0,-67.0,-63.0,-73.0,-73.0,,266.0,31.0,236.0,236.0,,49.0,-40.0,30.0,69.0,0.0,-40.0,1.0,-181.49,-198.82,-30.94,-27.9,12.98,371.45,-865.0,,2382.0,3.38,,,0.0,9894439.0
NPX(2024/12),83.0,-32.0,-32.0,-30.0,-30.0,-30.0,,223.0,18.0,206.0,206.0,,49.0,-40.0,-26.0,-1.0,0.0,-40.0,2.0,-38.65,-36.56,-13.73,-12.38,8.52,302.89,-306.0,,2081.0,3.86,,,,9894439.0
NPX(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPX(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPX(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지니틱스(2020/12),404.0,16.0,16.0,-4.0,-3.0,-3.0,,417.0,115.0,302.0,302.0,,36.0,24.0,19.0,10.0,1.0,23.0,46.0,3.85,-0.64,-0.87,-0.61,37.92,735.12,-7.0,,849.0,2.94,0.0,0.0,0.0,35590569.0
지니틱스(2021/12),388.0,16.0,16.0,-1.0,-1.0,-1.0,,434.0,133.0,301.0,301.0,,36.0,23.0,-102.0,2.0,2.0,21.0,46.0,4.14,-0.27,-0.35,-0.25,44.19,725.99,-3.0,,842.0,3.83,0.0,0.0,0.0,35745668.0
지니틱스(2022/12),276.0,-52.0,-52.0,-70.0,-91.0,-91.0,,309.0,91.0,219.0,219.0,,36.0,-78.0,35.0,-1.0,4.0,-82.0,45.0,-18.94,-32.83,-34.9,-24.4,41.45,491.45,-254.0,,612.0,2.19,0.0,0.0,0.0,35745668.0
지니틱스(2023/12),331.0,-60.0,-60.0,-59.0,-59.0,-59.0,,285.0,123.0,162.0,162.0,,36.0,-23.0,62.0,0.0,1.0,-24.0,46.0,-18.29,-17.77,-30.88,-19.77,76.13,329.5,-164.0,,453.0,3.52,0.0,0.0,0.0,35745668.0
지니틱스(2024/12),541.0,3.0,3.0,7.0,7.0,7.0,,276.0,107.0,169.0,169.0,,36.0,48.0,-8.0,0.0,0.0,48.0,47.0,0.52,1.21,3.94,2.33,63.11,350.07,18.0,61.59,474.0,2.37,,,,35745668.0
지니틱스(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지니틱스(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지니틱스(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산테코피아(2020/12),784.0,140.0,140.0,142.0,126.0,127.0,-1.0,1705.0,124.0,1580.0,1572.0,8.0,92.0,164.0,-178.0,-22.0,165.0,-1.0,27.0,17.92,16.12,,,7.87,1622.47,694.0,25.66,8589.0,2.07,0.0,0.0,0.0,18377428.0
덕산테코피아(2021/12),1124.0,220.0,220.0,191.0,174.0,178.0,-4.0,2443.0,713.0,1730.0,1723.0,7.0,92.0,211.0,-296.0,455.0,366.0,-154.0,424.0,19.56,15.46,10.82,8.38,41.24,1816.97,970.0,31.8,9481.0,3.25,0.0,0.0,0.0,18377428.0
덕산테코피아(2022/12),1110.0,93.0,93.0,126.0,150.0,161.0,-10.0,2985.0,952.0,2033.0,1884.0,149.0,92.0,123.0,-506.0,235.0,786.0,-663.0,694.0,8.34,13.56,8.91,5.54,46.85,1998.21,874.0,15.45,10385.0,1.3,0.0,0.0,0.0,18377428.0
덕산테코피아(2023/12),941.0,-62.0,-62.0,-208.0,-193.0,-74.0,-119.0,5144.0,3301.0,1843.0,1770.0,73.0,92.0,-78.0,-1759.0,1834.0,1492.0,-1570.0,1996.0,-6.62,-20.49,-4.05,-4.74,179.08,1872.22,-403.0,,9756.0,1.92,0.0,0.0,0.0,18377428.0
덕산테코피아(2024/12),997.0,-302.0,-302.0,-725.0,-726.0,-531.0,-195.0,6630.0,4572.0,2057.0,1982.0,75.0,102.0,-562.0,-1137.0,1649.0,384.0,-946.0,2677.0,-30.31,-72.8,-28.3,-12.33,222.24,1840.54,-2681.0,,9681.0,3.06,,,,20476584.0
덕산테코피아(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산테코피아(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산테코피아(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제이엔비(2020/12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,84585248.0
제이엔비(2021/12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8816315.0
제이엔비(2022/12),166.0,50.0,50.0,48.0,52.0,52.0,,515.0,288.0,227.0,227.0,,1.0,41.0,-134.0,110.0,96.0,-56.0,266.0,30.37,31.54,,,126.65,29371.68,592.0,,2576.0,0.0,0.0,,0.0,8816315.0
제이엔비(2023/12),153.0,33.0,33.0,-19.0,-25.0,-25.0,,598.0,252.0,346.0,346.0,,10.0,41.0,-32.0,-16.0,13.0,29.0,230.0,21.48,-16.61,-8.88,-4.57,72.93,3540.25,-277.0,,3753.0,3.39,0.0,0.0,0.0,9214471.0
제이엔비(2024/12),160.0,34.0,34.0,28.0,20.0,20.0,,655.0,274.0,381.0,381.0,,10.0,47.0,-45.0,33.0,121.0,-75.0,250.0,20.98,12.39,5.47,3.17,71.79,3787.19,209.0,22.89,3962.0,1.21,,,,9617527.0
제이엔비(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제이엔비(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제이엔비(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지오엘리먼트(2020/12),132.0,29.0,29.0,29.0,25.0,25.0,,246.0,33.0,214.0,214.0,,23.0,35.0,-16.0,0.0,1.0,34.0,5.0,21.8,18.64,12.2,10.76,15.36,821.71,267.0,,2321.0,0.0,0.0,,0.0,9200000.0
지오엘리먼트(2021/12),217.0,61.0,61.0,64.0,53.0,53.0,,466.0,48.0,417.0,417.0,,31.0,40.0,-184.0,152.0,21.0,19.0,6.0,28.19,24.49,16.84,14.93,11.54,1243.15,548.0,33.93,3370.0,5.52,50.0,0.27,11.65,12386820.0
지오엘리먼트(2022/12),286.0,73.0,73.0,80.0,67.0,67.0,,531.0,42.0,489.0,489.0,,32.0,27.0,-36.0,2.0,20.0,7.0,8.0,25.46,23.34,14.75,13.41,8.67,1449.6,533.0,18.42,3875.0,2.53,50.0,0.51,9.44,12614560.0
지오엘리먼트(2023/12),178.0,8.0,8.0,19.0,22.0,22.0,,532.0,28.0,504.0,504.0,,63.0,26.0,-34.0,-7.0,92.0,-65.0,8.0,4.27,12.5,4.49,4.19,5.58,698.83,177.0,67.36,3995.0,2.98,0.0,0.0,0.0,12614560.0
지오엘리먼트(2024/12),448.0,53.0,53.0,40.0,31.0,34.0,-2.0,701.0,140.0,561.0,538.0,23.0,63.0,65.0,9.0,-17.0,45.0,20.0,82.0,11.87,6.92,,,24.92,753.35,266.0,27.23,4267.0,1.69,50.0,0.69,18.83,12614560.0
지오엘리먼트(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지오엘리먼트(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지오엘리먼트(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
픽셀플러스(2020/12),391.0,10.0,10.0,40.0,40.0,40.0,,865.0,60.0,804.0,804.0,,41.0,20.0,119.0,-2.0,30.0,-11.0,8.0,2.49,10.19,5.03,4.69,7.5,2345.06,488.0,15.26,12628.0,0.59,0.0,0.0,0.0,8166558.0
픽셀플러스(2021/12),506.0,34.0,34.0,37.0,37.0,37.0,,926.0,83.0,843.0,843.0,,41.0,-100.0,-19.0,-3.0,66.0,-166.0,13.0,6.62,7.4,4.55,4.18,9.84,2437.82,459.0,26.49,13240.0,0.92,0.0,0.0,0.0,8166558.0
픽셀플러스(2022/12),629.0,29.0,29.0,3.0,2.0,2.0,,949.0,102.0,847.0,847.0,,41.0,13.0,-37.0,39.0,76.0,-63.0,51.0,4.62,0.39,0.29,0.26,12.07,2444.14,30.0,253.42,13297.0,0.58,50.0,0.65,128.5,8166558.0
픽셀플러스(2023/12),507.0,-63.0,-63.0,-4.0,-4.0,-4.0,,1058.0,218.0,840.0,840.0,,41.0,114.0,-167.0,95.0,164.0,-51.0,147.0,-12.39,-0.85,-0.51,-0.43,25.9,2420.29,-53.0,,13063.0,0.53,,,0.0,8166558.0
픽셀플러스(2024/12),535.0,8.0,8.0,36.0,35.0,35.0,,1063.0,187.0,876.0,876.0,,41.0,-3.0,-69.0,-5.0,189.0,-192.0,141.0,1.58,6.49,4.05,3.28,21.35,2501.29,425.0,15.26,13517.0,0.48,,,,8166558.0
픽셀플러스(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
픽셀플러스(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
픽셀플러스(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코세스(2020/12),638.0,95.0,95.0,75.0,63.0,63.0,,725.0,438.0,287.0,287.0,,84.0,-50.0,-8.0,123.0,10.0,-60.0,335.0,14.95,9.94,22.76,10.03,152.95,316.72,379.0,23.24,1863.0,4.72,,,0.0,16584962.0
코세스(2021/12),772.0,138.0,138.0,137.0,111.0,111.0,,745.0,232.0,513.0,513.0,,84.0,127.0,-7.0,-161.0,5.0,122.0,45.0,17.94,14.42,27.84,15.15,45.16,508.87,671.0,22.8,3093.0,4.95,,,0.0,16584962.0
코세스(2022/12),729.0,85.0,85.0,99.0,79.0,79.0,,745.0,146.0,600.0,600.0,,84.0,129.0,-29.0,-26.0,6.0,124.0,20.0,11.72,10.81,14.17,10.58,24.3,611.51,475.0,21.26,3615.0,2.79,,,0.0,16584962.0
코세스(2023/12),957.0,80.0,80.0,88.0,70.0,70.0,,991.0,327.0,664.0,664.0,,84.0,-150.0,-20.0,118.0,5.0,-154.0,141.0,8.38,7.28,11.02,8.02,49.16,688.53,420.0,25.67,4006.0,2.69,,,0.0,16584962.0
코세스(2024/12),692.0,-56.0,-56.0,-3.0,-2.0,-2.0,,859.0,251.0,608.0,608.0,,84.0,131.0,10.0,-92.0,2.0,129.0,100.0,-8.11,-0.29,,,41.27,680.95,-12.0,,3809.0,1.72,,,,16584962.0
코세스(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코세스(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코세스(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB세미콘(2020/12),4428.0,428.0,428.0,384.0,316.0,271.0,46.0,5275.0,3092.0,2183.0,1741.0,441.0,219.0,795.0,-805.0,166.0,865.0,-70.0,2328.0,9.66,7.14,16.71,6.29,141.67,695.47,618.0,23.87,3977.0,3.71,50.0,0.34,8.09,43784592.0
LB세미콘(2021/12),4962.0,442.0,442.0,419.0,383.0,325.0,58.0,7003.0,3649.0,3354.0,2286.0,1068.0,219.0,1099.0,-2081.0,1123.0,1579.0,-480.0,2674.0,8.91,7.72,16.16,6.24,108.77,944.31,743.0,17.97,5222.0,2.56,50.0,0.37,6.73,43784592.0
LB세미콘(2022/12),5246.0,568.0,568.0,538.0,447.0,402.0,45.0,7671.0,3859.0,3811.0,2689.0,1122.0,219.0,1240.0,-1346.0,236.0,1627.0,-386.0,3028.0,10.83,8.52,16.16,6.09,101.26,1128.33,918.0,7.18,6142.0,1.07,0.0,0.0,0.0,43784592.0
LB세미콘(2023/12),4169.0,-127.0,-127.0,-271.0,-166.0,-152.0,-14.0,7912.0,4250.0,3661.0,2526.0,1136.0,219.0,808.0,-565.0,221.0,759.0,49.0,3289.0,-3.05,-3.98,-5.82,-2.13,116.09,1042.49,-347.0,,5769.0,1.34,0.0,0.0,0.0,43784592.0
LB세미콘(2024/12),4509.0,-188.0,-188.0,-308.0,-230.0,-222.0,-8.0,8060.0,4598.0,3462.0,2300.0,1162.0,219.0,520.0,-1454.0,492.0,1550.0,-1030.0,3875.0,-4.17,-5.11,-9.19,-2.88,132.8,939.29,-507.0,,5253.0,0.68,,,,43784592.0
LB세미콘(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB세미콘(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB세미콘(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예스티(2020/12),661.0,5.0,5.0,24.0,4.0,3.0,1.0,1657.0,1003.0,655.0,639.0,16.0,75.0,115.0,-49.0,-29.0,49.0,66.0,861.0,0.7,0.61,0.48,0.24,153.22,832.26,20.0,453.17,4518.0,1.97,0.0,0.0,0.0,14943514.0
예스티(2021/12),724.0,-111.0,-111.0,-207.0,-216.0,-217.0,1.0,2150.0,1299.0,851.0,823.0,28.0,86.0,-52.0,-34.0,293.0,62.0,-114.0,1082.0,-15.33,-29.88,-29.71,-11.36,152.75,877.84,-1251.0,,4651.0,2.98,0.0,0.0,0.0,17291129.0
예스티(2022/12),760.0,-169.0,-169.0,-73.0,-52.0,-29.0,-23.0,1897.0,1078.0,820.0,807.0,12.0,90.0,-178.0,25.0,-90.0,40.0,-218.0,876.0,-22.21,-6.88,-3.56,-2.58,131.42,881.67,-161.0,,4626.0,1.56,0.0,0.0,0.0,18051850.0
예스티(2023/12),798.0,-4.0,-4.0,-299.0,-287.0,-283.0,-4.0,2096.0,1322.0,774.0,754.0,20.0,95.0,17.0,100.0,108.0,35.0,-18.0,659.0,-0.52,-35.99,-36.27,-14.38,170.73,773.11,-1524.0,,4102.0,4.04,0.0,0.0,0.0,19044342.0
예스티(2024/12),1001.0,113.0,113.0,124.0,112.0,104.0,8.0,2044.0,786.0,1258.0,1231.0,27.0,105.0,85.0,-161.0,-118.0,83.0,2.0,468.0,11.25,11.2,10.51,5.42,62.47,1157.31,511.0,19.2,6070.0,1.62,,,,20930108.0
예스티(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예스티(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예스티(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퀄리타스반도체(2020/12),13.0,-10.0,-10.0,-10.0,-7.0,-7.0,,36.0,49.0,-13.0,-13.0,,1.0,0.0,-10.0,20.0,9.0,-9.0,21.0,-73.5,-52.9,,,-379.94,-2399.56,-87.0,,-152.0,0.0,0.0,,0.0,6675403.0
퀄리타스반도체(2021/12),40.0,-47.0,-47.0,-36.0,-37.0,-37.0,,69.0,107.0,-38.0,-38.0,,1.0,-3.0,-8.0,28.0,5.0,-8.0,58.0,-119.98,-92.48,143.53,-69.93,-280.05,-6916.68,-420.0,,-435.0,0.0,0.0,,0.0,6675403.0
퀄리타스반도체(2022/12),108.0,-37.0,-37.0,-24.0,-23.0,-23.0,,141.0,181.0,-40.0,-40.0,,1.0,3.0,-33.0,50.0,21.0,-18.0,109.0,-34.02,-21.14,58.55,-21.74,-454.64,-7025.38,-245.0,,-425.0,0.0,0.0,,0.0,6874357.0
퀄리타스반도체(2023/12),108.0,-112.0,-112.0,-75.0,-81.0,-81.0,,407.0,130.0,277.0,277.0,,55.0,-113.0,-27.0,344.0,24.0,-136.0,68.0,-103.82,-75.26,-68.32,-29.57,46.85,392.9,-820.0,,2382.0,16.11,0.0,0.0,0.0,11637466.0
퀄리타스반도체(2024/12),61.0,-227.0,-227.0,-191.0,-191.0,-191.0,,640.0,134.0,507.0,507.0,,70.0,-171.0,-439.0,416.0,16.0,-187.0,66.0,-373.59,-313.72,-48.62,-36.39,26.36,619.48,-1515.0,,3637.0,2.58,,,,13929192.0
퀄리타스반도체(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퀄리타스반도체(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퀄리타스반도체(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에이디테크놀로지(2020/12),2924.0,135.0,135.0,25.0,28.0,33.0,-4.0,2203.0,718.0,1485.0,1464.0,20.0,66.0,121.0,-982.0,958.0,450.0,-329.0,452.0,4.61,0.97,3.23,1.72,48.39,2125.64,285.0,106.66,11141.0,2.73,70.0,0.23,28.16,13274598.0
에이디테크놀로지(2021/12),3221.0,114.0,114.0,126.0,150.0,151.0,-2.0,2342.0,699.0,1643.0,1624.0,20.0,67.0,15.0,40.0,-49.0,15.0,-1.0,420.0,3.54,4.64,9.79,6.58,42.52,2349.34,1135.0,21.24,12300.0,1.96,70.0,0.29,6.11,13329832.0
