기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
한화오션,74329.25,-5483.4,-3968.1,139120.4,34056.1,10890.05,-15422.4,34366.35,-12.288,-10.7305,-26.670000000000005,-4.1075,517.933,-3987.1,17.878571837453695,15121.3,1.985,225586657.5
현대건설,258686.75,1002.35,1338.25,229521.1,97905.9,5616.2,813.65,25716.1,0.9920000000000002,0.889,3.2295000000000003,0.8589999999999998,134.3345,2126.5,3.8180000000000005,68765.25,0.49450000000000005,111355765.0
현대글로비스,252583.3,15092.2,10140.25,144270.45,73432.15,244.1,17725.7,35605.85,5.8740000000000006,3.9945,14.764499999999998,7.3845,97.93500000000002,13459.45,7.5009999999999994,97611.95,1.0130000000000001,75000000.0
현대로템,35518.95,2392.2,2096.4,48965.95,16376.3,5457.0,3657.75,7880.65,6.237,5.449,12.9175,4.202,202.92800000000003,1973.4,22.045000000000005,15281.2,2.0375,109142293.0
현대모비스,522839.4,23902.2,30783.8,582790.05,401972.4,4911.0,36812.7,33380.9,4.5920000000000005,5.797499999999999,7.843999999999999,5.409999999999999,45.0515,32720.1,7.9125,441150.65,0.5385,93860754.0
현대백화점,40741.55,2785.05,725.3,109233.8,60006.05,1170.0,6084.7,25140.25,6.8245000000000005,1.9400000000000002,0.7760000000000001,0.7934999999999999,81.56949999999999,1430.55,-7.301417351462058,203046.95,0.27999999999999997,23170352.6
현대엘리베이터,24201.05,1313.1,1779.2,32696.2,12519.2,2122.0,1223.35,8160.2,5.3475,7.119,14.8125,5.504,161.041,4450.4,11.589500000000001,31735.55,1.3455000000000001,39867647.7
현대위아,79255.65,1888.65,744.6,72729.9,38032.15,1360.0,4418.8,18418.7,2.3425,0.932,2.6055,1.0379999999999998,91.804,3218.45,19.1305,127331.3,0.43500000000000005,27195083.0
현대제철,241444.75,9451.5,5028.0,356288.85,189081.4,6672.0,19574.25,115348.25,3.8055,1.9440000000000002,2.726,1.3800000000000001,88.8565,3683.35,-69.81225717588133,140697.1,0.2285,133445785.0
현대차,1497069.1,112598.9,96801.9,2797302.5,997408.9,14890.0,-4201.6,1270348.85,7.228,6.1850000000000005,10.251,3.5474999999999994,180.2855,33219.55,9.172999999999998,345202.2,0.5740000000000001,211858417.95
현대해상,168437.95,10420.8,7558.3,476717.7,60701.6,447.0,14037.9,16655.6,6.326,4.593500000000001,12.173,1.5879999999999999,746.7924999999999,8454.75,3.7150000000000007,77333.6,0.363,89400000.0
호텔신라,39464.8,361.9,-312.55,31713.35,7943.1,2000.0,1265.1,16232.85,0.8089999999999999,-0.8505,-3.0004999999999997,-0.9120000000000001,336.9375,-781.9,3.2866431522955892,20980.1,3.7785,39248121.0
효성중공업,40082.75,2242.65,1152.1,49684.2,13957.55,466.0,2791.35,12929.0,5.269,2.604,8.211,2.2965,269.51,11180.0,21.2377489504618,135929.25,1.2289999999999999,9324548.0
효성티앤씨,77966.55,3994.95,2516.7,42602.5,15773.25,216.0,5586.25,13711.75,5.0295,3.1635000000000004,18.936,6.596500000000001,177.7275,45108.25,33.785999999999994,295216.55,1.1600000000000001,4327682.0
후성,4676.15,156.7,-186.75,7944.55,3327.9,488.95,566.6,3455.9,2.9869999999999997,-4.7315,-2.2639999999999993,-1.5755,138.471,-89.5,19.894725615507202,3090.65,3.7555,99840836.4
