,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,0.053734557340094365,-0.02277082163161162,1.5676724713411635e-40,***
Sortino,0.08242050877276813,-0.0291811006049927,1.0032488982998468e-45,***
CVaR,-0.03434174952855937,-0.03231762906855539,0.9999999999816407,
