,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,-0.00873611672477933,-0.027509743663261744,2.6439481583284706e-17,***
Sortino,-0.010409682507277954,-0.03338380601338413,3.091695481826983e-17,***
CVaR,-0.025510596791606124,-0.03020178369762388,6.348240715371974e-60,***
