,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,-0.04617693037552712,-0.023367983408435093,0.9999999999690294,
Sortino,-0.0603865668794466,-0.029996971943070896,0.9999999999920459,
CVaR,-0.03133740993841363,-0.03108433012904166,0.8392317494282245,
