,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,-0.017559625485909922,-0.025755755738321354,1.675408654481721e-08,***
Sortino,-0.02042152527779126,-0.030491018455578948,1.1900281231374656e-08,***
CVaR,-0.02853796337560726,-0.029263264998356898,8.275474244548967e-06,***
