,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,-0.03700978486260645,-0.032018424166430075,0.9155559358648828,
Sortino,-0.05117343860727472,-0.04126029388681832,0.9827093174776736,
CVaR,-0.032039212748871976,-0.03263144527436961,0.032426144906346197,**
