,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,0.01839002638915041,0.02015154415413748,0.9322436547684784,
Sortino,0.023847675063198532,0.025855356622878918,0.9094408730301573,
CVaR,-0.032607106344092106,-0.035796833160724545,2.720430952838697e-24,***
