,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,0.01508268304920352,-0.022553563291716504,4.411250394087999e-16,***
Sortino,0.019673245153307407,-0.029846291933369143,5.749247256368541e-16,***
CVaR,-0.040323921313256836,-0.03356272782068308,1.0,
