,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,0.06951827919520986,0.018636893546638028,3.57390574089085e-58,***
Sortino,0.09307102751704277,0.02511266114863183,9.263867482943252e-58,***
CVaR,-0.05246969416947036,-0.03755878854426006,1.0,
