Feature,Test Count,Significant Count (p<=0.05),Significant Ratio
부채비율,6,5,0.8333
순이익률,6,5,0.8333
ROE(%),3,2,0.6667
자산총계,3,2,0.6667
영업이익률,9,5,0.5556
ROA(%),6,3,0.5
자본금,6,3,0.5
PBR(배),12,5,0.4167
EPS(원),6,0,0.0
BPS(원),3,0,0.0
PER(배),3,0,0.0
