,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,0.015923898510489136,0.01920848610891163,0.9951996965066086,
Sortino,0.021598254799947147,0.024961370103205423,0.9803672587748281,
CVaR,-0.036747365517264076,-0.03593153419030368,0.9998027949241051,
