,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,0.028426391400199192,0.022852229432559167,4.653362031167228e-26,***
Sortino,0.034171423401628306,0.027704452180538443,9.671589166491378e-25,***
CVaR,-0.03299450846861235,-0.03387662266732075,3.291831932733354e-05,***
