,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,-0.13587278899909275,-0.023636948004247416,1.0,
Sortino,-0.19006002474376543,-0.03179892662508522,1.0,
CVaR,-0.05152764598676903,-0.034445016917703096,1.0,
