,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,0.025410093921758484,0.02231061976111671,4.081536586907376e-06,***
Sortino,0.03145177346328677,0.027432314449065746,9.403381667412641e-07,***
CVaR,-0.030795402297621965,-0.034724325719183796,1.7044131000398924e-61,***
