,Cluster,RandomMean,p-value (one-sided >),significance
Sharpe,0.05172780301569934,-0.018640595420237206,6.783771734651008e-26,***
Sortino,0.07637912798589676,-0.024801088668742997,8.376754261240736e-28,***
CVaR,-0.03942201031886482,-0.03554009166886522,0.9999999999999989,
